City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Busselton,AU,2022-04-24 18:57:47,-33.65,115.3333,64.96,50,98,12.64
67,Finnsnes,NO,2022-04-24 18:57:47,69.2296,17.9811,41.61,99,100,4.07
68,Salalah,OM,2022-04-24 18:57:47,17.0151,54.0924,81.37,76,12,4.79
69,Avarua,CK,2022-04-24 18:57:48,-21.2078,-159.775,80.65,78,90,3.44
70,Sagar,IN,2022-04-24 18:57:48,23.8333,78.7167,86.58,12,0,5.5
71,Irricana,CA,2022-04-24 18:57:49,51.3237,-113.6048,59.43,35,1,10.4
72,Greenwood,US,2022-04-24 18:57:49,34.1668,-82.1165,79.02,47,14,5.95
73,Norman Wells,CA,2022-04-24 18:57:50,65.282,-126.8329,44.64,49,20,16.11
74,Kattivakkam,IN,2022-04-24 18:57:50,13.2167,80.3167,86.09,85,1,9.31
75,Torbay,CA,2022-04-24 18:57:51,47.6666,-52.7314,38.35,97,100,13.8
76,Qaanaaq,GL,2022-04-24 18:57:51,77.484,-69.3632,7.41,73,90,6.22
77,Hilo,US,2022-04-24 18:57:52,19.7297,-155.09,78.28,99,65,1.01
78,Tura,IN,2022-04-24 18:57:52,25.5198,90.2201,74.05,87,95,6.4
79,College,US,2022-04-24 18:57:52,64.8569,-147.8028,37.38,65,0,0.0
80,Hobart,AU,2022-04-24 18:57:11,-42.8794,147.3294,54.27,90,100,5.75
81,Solntsevo,RU,2022-04-24 18:57:53,51.4185,36.7499,51.87,94,100,5.26
82,Yellowknife,CA,2022-04-24 18:57:54,62.456,-114.3525,28.92,64,20,13.8
83,Jamestown,US,2022-04-24 18:57:54,42.097,-79.2353,80.19,10,71,11.79
84,Port Hardy,CA,2022-04-24 18:57:54,50.6996,-127.4199,48.38,81,100,4.61
85,Lompoc,US,2022-04-24 18:57:29,34.6391,-120.4579,84.69,57,0,11.5
86,Hay River,CA,2022-04-24 18:57:55,60.8156,-115.7999,39.18,52,20,16.11
87,Rosario,AR,2022-04-24 18:58:56,-32.9468,-60.6393,82.11,40,0,14.97
88,Gorgan,IR,2022-04-24 18:58:56,36.8387,54.4348,60.76,88,0,6.91
89,Port Lincoln,AU,2022-04-24 18:56:52,-34.7333,135.8667,64.27,80,100,3.29
90,Tiksi,RU,2022-04-24 18:58:57,71.6872,128.8694,-6.09,100,100,1.59
91,Bethel,US,2022-04-24 18:58:57,41.3712,-73.414,66.02,43,88,4.0
92,Margate,GB,2022-04-24 18:58:58,51.3813,1.3862,49.1,82,10,11.01
93,Tezu,IN,2022-04-24 18:58:58,27.9167,96.1667,66.29,85,41,5.59
