City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
242,Bengkulu,ID,77.05,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
247,Arlit,NE,81.25,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
250,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
253,Araouane,ML,79.93,clear sky,18.9048,-3.5265,
256,Raga,SS,80.65,overcast clouds,8.4596,25.678,
258,Pak Phanang,TH,81.05,broken clouds,8.3511,100.202,Green Park Inn Hotel
260,Birao,CF,80.83,broken clouds,10.2849,22.7882,
261,Veraval,IN,82.06,clear sky,20.9,70.3667,Lords Inn Somnath
262,Teknaf,BD,77.94,few clouds,20.8624,92.3058,Forestry Guesthouse
263,Cairns,AU,79.11,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
264,Puerto Cabello,VE,77.32,overcast clouds,10.4731,-68.0125,Las Palmeras
267,Kismayo,SO,81.5,light rain,-0.3582,42.5454,Agan-Hotel
270,Manggar,ID,79.12,broken clouds,-2.8833,108.2667,Guest Hotel
271,Bandar-E Lengeh,IR,85.32,overcast clouds,26.5579,54.8807,کافی نت پارس
272,Sechura,PE,77.14,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
273,Imbituba,BR,76.86,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
276,Buritizeiro,BR,79.25,scattered clouds,-17.3511,-44.9622,Santos Palace Hotel
277,Myrtle Beach,US,76.1,clear sky,33.6891,-78.8867,Bay View Resort Myrtle Beach
279,Kavaratti,IN,84.18,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
282,Tabou,CI,80.78,overcast clouds,4.423,-7.3528,hotêl doufoulougou
284,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
287,Nishihara,JP,78.85,overcast clouds,26.1842,127.7558,Minshuku Agaihama
288,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
295,Elat,IL,76.84,clear sky,29.5581,34.9482,Club Hotel Eilat
297,Vaitape,PF,82.29,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
299,Mayumba,GA,78.01,overcast clouds,-3.432,10.6554,LIKWALE LODGE
304,Luanda,AO,76.53,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
305,Caravelas,BR,75.78,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
307,Nisia Floresta,BR,81.41,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
316,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
321,Gombe,NG,88.39,broken clouds,10.2897,11.1673,Custodian Hotel Gombe
325,Karaton,ID,75.06,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
326,Sabang,ID,83.57,overcast clouds,5.8933,95.3214,Hotel Citra
334,Guiratinga,BR,78.8,scattered clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
335,Georgetown,MY,78.75,few clouds,5.4112,100.3354,Cititel Penang
339,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
344,Hope,US,82.45,overcast clouds,33.6671,-93.5916,Best Western Hope
347,Nabire,ID,77.04,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
348,Padang,ID,77.56,overcast clouds,-0.9492,100.3543,Mercure Padang
349,Malpe,IN,81.7,scattered clouds,13.35,74.7167,Hotel Sri Krishna Residency
353,Mahajanga,MG,77.85,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
357,Becerril,CO,82.87,overcast clouds,9.7041,-73.2793,Barrio El Carmen
361,Pontianak,ID,76.98,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
362,Maryville,US,76.28,broken clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
364,Valle De Allende,MX,88.2,clear sky,26.9333,-105.4,Hotel Meson de San Bartolome
365,Ratodero,PK,89.01,clear sky,27.803,68.2871,Ali Abbas Kango House
369,San Pedro,PH,83.43,few clouds,14.35,121.0167,Esquivel's Garden And Resort
370,Santa Catarina De Tepehuanes,MX,81.9,clear sky,25.35,-105.7333,hotel plaza
371,Tessalit,ML,82.98,clear sky,20.1986,1.0114,
378,Mount Pleasant,US,77.14,clear sky,32.7941,-79.8626,Best Western Patriots Point
379,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
390,San Policarpo,PH,80.46,overcast clouds,12.1791,125.5072,Agapita M. Nicart
396,Canatlan,MX,83.61,clear sky,24.5167,-104.7833,AUTOLAVADO El Negro
400,Kodumudi,IN,83.8,scattered clouds,11.0775,77.8836,Aadvin Hotel
403,Umm Lajj,SA,83.21,clear sky,25.0213,37.2685,Moon light Furnished Units
409,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
412,Kpandae,GH,82.62,overcast clouds,8.4689,-0.0113,S. Amaski Guest House
413,Orangeburg,US,77.95,clear sky,33.4918,-80.8557,Palmetto Inn & Suites
420,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
422,Borba,BR,76.26,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
425,Axim,GH,77.68,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
428,Canon City,US,80.17,clear sky,38.441,-105.2424,Travel Inn Motel
431,Kupang,ID,76.03,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
433,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
438,Isangel,VU,75.88,light rain,-19.55,169.2667,Tanna Lodge
441,Kuah,MY,80.58,thunderstorm,6.3265,99.8432,Azio Hotel
444,Russell,US,81.68,clear sky,32.3502,-85.1999,Macs
445,Cururupu,BR,75.09,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
452,Ugoofaaru,MV,84.6,broken clouds,5.6667,73.0,Ungoofaaru Inn
455,Oussouye,SN,75.38,clear sky,12.485,-16.5469,Auberge du Routard
457,Ratnapura,LK,75.85,overcast clouds,6.6828,80.3992,Hotel Helenium
460,Namatanai,PG,82.47,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
461,Gigmoto,PH,79.5,broken clouds,13.7796,124.39,Cj's Travellers Inn
464,Stephenville,US,85.15,broken clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
465,Jalpan,MX,87.66,clear sky,21.2333,-99.4833,Hotel Mision Jalpan
467,Pangai,TO,80.71,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
474,Mattru,SL,76.26,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
475,Sawai Madhopur,IN,88.92,broken clouds,25.9833,76.3667,Sawai Madhopur Lodge – IHCL SeleQtions
491,Makakilo City,US,82.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
493,Sao Jose Da Coroa Grande,BR,78.22,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
499,Luganville,VU,80.55,light rain,-15.5333,167.1667,The Espiritu Hotel
501,Monrovia,LR,80.37,light rain,6.3005,-10.7969,Sunset Inn
509,Suleja,NG,83.39,broken clouds,9.1758,7.1808,Capy Motel
510,Pukhrayan,IN,89.04,clear sky,26.2333,79.85,Raj Guest House And Restaurant.
512,Tual,ID,84.69,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
516,Mount Isa,AU,78.57,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
518,Junagadh,IN,83.59,clear sky,21.5167,70.4667,Click Hotel Junagadh
519,Jaffna,LK,85.05,overcast clouds,9.6685,80.0074,Green Grass Hotel & Restaurant (Pvt) Ltd.
520,Tchaourou,BJ,75.69,light rain,8.8865,2.5975,SAFIR HOTEL
527,Sola,VU,80.74,overcast clouds,-13.8833,167.55,Leumerus Bungalows
528,Quebo,GW,77.09,broken clouds,11.3333,-14.9333,
529,Riberalta,BO,89.8,broken clouds,-10.9833,-66.1,Hotel Colonial
530,Itarema,BR,77.52,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
