City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Aksu,CN,41.1231,80.2644,54.48,50,2,8.84,clear sky
81,Ladybrand,ZA,-29.1945,27.4574,49.68,63,4,4.07,clear sky
82,Mulege,MX,26.8833,-111.9833,85.87,27,2,9.55,clear sky
83,Rio Grande,BR,-32.035,-52.0986,59.11,82,59,10.42,broken clouds
84,Tawang,IN,27.5833,91.8667,46.04,84,61,2.82,broken clouds
85,Puerto Narino,CO,-3.7703,-70.3831,78.71,92,97,2.95,overcast clouds
86,Huilong,CN,31.8111,121.655,54.93,90,100,16.67,overcast clouds
87,Thompson,CA,55.7435,-97.8558,48.36,43,100,8.05,overcast clouds
88,Ahipara,NZ,-35.1667,173.1667,63.52,70,4,8.61,clear sky
89,San Isidro,PE,-12.1167,-77.05,66.51,52,84,9.22,broken clouds
90,Bambous Virieux,MU,-20.3428,57.7575,74.21,94,20,6.91,few clouds
91,Carnarvon,AU,-24.8667,113.6333,59.07,82,0,11.5,clear sky
92,Roebourne,AU,-20.7833,117.1333,71.6,85,100,13.13,light rain
93,Puro,PH,12.4841,123.3827,79.97,83,95,10.04,overcast clouds
94,Pacific Grove,US,36.6177,-121.9166,66.87,69,0,18.41,clear sky
95,Wajima,JP,37.4,136.9,53.91,69,100,19.77,overcast clouds
96,Vostok,RU,46.4856,135.8833,36.72,55,0,2.86,clear sky
97,Bonavista,CA,48.6499,-53.1147,37.94,86,100,7.49,overcast clouds
98,Tiznit,MA,29.5833,-9.5,58.78,71,34,8.86,scattered clouds
99,Hirara,JP,24.8,125.2833,79.07,94,40,13.8,scattered clouds
100,Souillac,MU,-20.5167,57.5167,71.98,94,20,6.91,few clouds
101,Neiafu,TO,-18.65,-173.9833,83.08,78,75,13.8,light rain
102,Kawalu,ID,-7.3817,108.2082,72.12,94,93,2.62,overcast clouds
103,Punta Arenas,CL,-53.15,-70.9167,42.91,75,40,25.32,scattered clouds
104,Gogrial,SS,8.5332,28.1004,83.79,53,100,7.92,overcast clouds
105,Solnechnyy,RU,50.7214,136.6319,34.65,74,35,2.86,scattered clouds
106,Ngunguru,NZ,-35.6167,174.5,62.85,78,9,13.56,clear sky
107,Tiksi,RU,71.6872,128.8694,7.65,92,40,5.99,scattered clouds
108,Kavieng,PG,-2.5744,150.7967,83.91,71,100,10.02,overcast clouds
109,Hasaki,JP,35.7333,140.8333,59.29,72,88,11.61,overcast clouds
110,Port Lincoln,AU,-34.7333,135.8667,61.5,88,99,9.22,overcast clouds
111,Porto Walter,BR,-8.2686,-72.7439,77.74,92,100,1.74,overcast clouds
112,Doljo,PH,9.5875,123.7303,80.55,82,100,6.89,heavy intensity rain
113,Yuzhnyy,RU,53.2542,83.6936,55.78,24,0,8.95,clear sky
114,Pevek,RU,69.7008,170.3133,23,99,100,6.13,overcast clouds
115,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,69,0,11.5,clear sky
116,Fukue,JP,32.6881,128.8419,62.69,94,100,19.06,heavy intensity rain
117,Jumla,NP,29.2747,82.1838,50.79,52,7,4.38,clear sky
118,Coquimbo,CL,-29.9533,-71.3436,62.33,72,0,10.36,clear sky
119,Seoul,KR,37.5683,126.9778,51.4,85,100,5.75,moderate rain
120,Paamiut,GL,61.994,-49.6678,35.4,95,100,9.8,light rain
121,Broome,US,42.2506,-75.833,47.17,29,0,16.11,clear sky
122,Adrar,MR,20.5022,-10.0711,78.24,11,0,7.49,clear sky
123,Pangoa,PE,-12.1167,-73,74.59,90,100,2.35,overcast clouds
124,Talnakh,RU,69.4865,88.3972,7.86,90,100,1.92,overcast clouds
125,Trelew,AR,-43.249,-65.3051,47.64,29,25,8.66,scattered clouds
126,Klaksvik,FO,62.2266,-6.589,41.92,82,12,4.03,few clouds
127,Katsuura,JP,35.1333,140.3,55.42,84,100,12.21,overcast clouds
128,Pisco,PE,-13.7,-76.2167,68.05,83,100,6.91,mist
129,Lorengau,PG,-2.0226,147.2712,82.6,72,100,0.4,overcast clouds
130,Makushino,RU,55.2103,67.2442,61.84,45,99,12.64,overcast clouds
131,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.99,69,0,9.22,clear sky
132,Pasni,PK,25.2631,63.471,84.18,69,0,14.41,clear sky
133,Abengourou,CI,6.7297,-3.4964,72.09,91,99,2.06,overcast clouds
134,Notodden,NO,59.5594,9.2585,44.96,68,3,1.01,clear sky
